	ROB	Channel	flag_fit_method	flag_chi2	Chi2NDF	ped_mean	ped_sigma	Sigma	Min_x	Max_x	N0	Q_{0}	Q_{1}	#sigma_{0}	#sigma_{1}	w	#alpha	#mu	err1	err2	err3	err4	err5	err6	err7	err8	log
47	15	47	2	0	1.2562	253.35	4.0657	-5	268.35	1156	206270.0	222.29	115.15	114.09	45.428	0.5605	0.083727	1.3491	0	1.1744	0.83626	7.8516	0.38562	0.027348	0.0071635	0.010209	2
48	15	48	1	0	2.1319	255.56	4.1433	2	249.56	1125	206270.0	251.38	88.651	5.4772	50.05	0.0187	0.055133	1.4089	0	0.07094	0.50781	0.045239	0.46959	0.0091459	0.017024	0.010147	2
49	15	49	1	0	2.3426	257.41	4.0709	0	257.41	1033	206270.0	254.2	88.525	5.1509	47.709	0.044971	0.090806	1.0716	0	0.058624	0.38738	0.052811	0.42242	0.0078881	0.015179	0.0063273	2
50	15	50	1	0	2.3102	239.88	4.0966	0	239.88	989	206270.0	239.37	99.006	5.3511	43.526	0.071369	0.038215	0.89215	0	0.044563	0.29804	0.030798	0.31084	0.0044316	0.0023788	0.0047791	2
51	15	51	1	0	2.337	252.43	4.0589	0	252.43	973	206270.0	250.51	96.095	5.4473	40.848	0.077535	0.044985	0.84414	0	0.044532	0.27128	0.036106	0.28419	0.0040972	0.0027976	0.004389	2
52	15	52	1	0	2.7642	240.33	4.0985	3	222.33	913	206270.0	239.5	99.726	5.9082	41.95	0.070902	0.034485	0.79363	0	0.0261	0.26159	0.016514	0.27128	0.0039124	0.0021326	0.0038231	1
53	15	53	1	1	3.3022	271.4	3.9848	3	262.4	1035	206270.0	267.0	85.8	5.4718	41.219	0.049766	0.072762	0.99062	0	3.4831e-05	0.27624	0.031923	0.34339	0.0052274	0.0072029	0.0044228	2
54	15	54	1	0	2.6876	256.9	4.0464	3	238.9	1205	206270.0	253.92	93.66	4.938	47.161	0.060815	0.051467	1.6064	0	0.039131	0.32415	0.022707	0.35489	0.0072916	0.0056187	0.0071216	1
55	15	55	1	0	1.8284	250.72	4.1771	3	232.72	1222	206270.0	246.44	88.497	5.2602	48.862	0.089876	0.047504	1.6121	0	0.048409	0.43543	0.028462	0.42053	0.0097668	0.0053388	0.010243	1
56	15	56	1	0	2.5076	252.34	4.0781	3	234.34	1051	206270.0	249.75	80.973	5.3296	43.034	0.064115	0.042133	1.4335	0	0.040977	0.35597	0.02375	0.35273	0.008944	0.0038403	0.0083904	1
57	15	57	1	0	2.3077	250.93	4.0965	0	250.93	1057	206270.0	249.52	91.906	5.2297	47.261	0.034073	0.070759	1.1219	0	0.053478	0.38109	0.038135	0.40388	0.0061545	0.013032	0.006531	2
58	15	58	1	0	2.8728	258.31	4.1438	3	240.31	1008	206270.0	255.82	85.07	5.3048	40.767	0.061233	0.04882	1.0058	0	0.030055	0.29084	0.017955	0.30513	0.0054646	0.0035824	0.0049913	1
59	15	59	1	0	2.316	253.02	4.1269	0	253.02	1002	206270.0	249.95	93.335	5.135	42.658	0.065686	0.059747	1.0753	0	0.056606	0.3073	0.052663	0.32846	0.0052484	0.0059512	0.0056674	2
60	15	60	2	0	2.6769	263.2	4.159	3	245.2	1045	206270.0	257.42	96.668	5.5418	49.867	0.023893	0.079604	1.0439	0	0.03417	0.31951	0.022663	0.36892	0.0054803	0.012496	0.0041124	1
61	15	61	2	0	1.4026	272.62	4.005	-4	284.62	1189	206270.0	242.37	111.12	28.652	42.371	0.65353	0.30258	1.3548	0	3.4712	0.57276	4.3916	0.3062	0.087766	0.50408	0.0081355	2
62	15	62	1	0	2.4595	254.06	4.1025	3	236.06	985	206270.0	249.0	79.223	5.4032	42.863	0.054833	0.048514	1.307	0	0.00010112	0.33217	0.02453	0.33668	0.0066076	0.0052593	0.007413	1
63	15	63	2	0	2.5179	258.74	4.4304	3	240.74	1103	206270.0	255.65	90.85	5.7295	43.078	0.16329	0.033288	1.5213	0	0.045286	0.3186	0.029181	0.33427	0.0077096	0.0015951	0.007427	1
